system,question_id,n_subgraph,trajectory_len,hit,agee,S,I,E
ToG,50,14,6,1,0.5694271299062762,0.6199247765152807,0.33701814058956914,0.8947368421052632
ToG,51,5560,9,1,0.7214854601351746,0.9474536160545248,0.36018546147206715,1.0
ToG,52,20,8,0,0.6199491435129432,0.776939562653403,0.28883928571428574,0.9736842105263158
ToG,53,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
ToG,54,5,4,1,0.6699402553641818,0.8,0.3625,1.0
ToG,55,13,9,1,0.5450605511378807,0.6923076923076923,0.19729344729344728,1.0
ToG,56,11,6,1,0.6055615289138643,0.7727272727272727,0.2949494949494949,0.8947368421052632
ToG,57,7,5,1,0.6174136752845653,0.7142857142857143,0.3190476190476191,1.0
ToG,58,4543,11,1,0.5878065730884624,0.7578227734079077,0.2664799792367425,0.9047619047619049
ToG,59,1575,8,1,0.5512044682350503,0.5242053191065803,0.3820901085873112,0.8947368421052632
ToG,60,7,5,1,0.6174136752845653,0.7142857142857143,0.3190476190476191,1.0
ToG,61,8,3,1,0.5684458481096544,0.375,0.5476190476190476,1.0
ToG,62,10,7,1,0.574122386129957,0.7,0.24444444444444446,1.0
ToG,63,2060,9,1,0.3489355428414103,0.1992790715386919,0.21462021701884637,1.0
ToG,64,46,12,1,0.6078274532119722,0.8214730239768318,0.23902044513457557,0.9680851063829787
ToG,65,6,5,1,0.6544318058580619,0.8333333333333334,0.3066666666666667,1.0
ToG,66,103,9,1,0.5441419012279821,0.6820305675167582,0.2094406851688405,0.9772727272727273
ToG,67,41,9,1,0.39820190325711247,0.3152395662070237,0.1998029071199803,1.0
ToG,68,30,9,1,0.5612037498689356,0.75951315803221,0.1993827160493827,0.9545454545454546
ToG,69,5,5,1,0.7030499987246199,1.0,0.29,1.0
ToG,70,11,8,1,0.56878690983226,0.7272727272727273,0.21704545454545454,1.0
ToG,71,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
ToG,72,128,7,1,0.2159018831453732,0.004971590909090911,0.24900793650793648,1.0
ToG,73,10,5,1,0.6143419458561377,0.7091479170272448,0.3166666666666667,1.0
ToG,74,13,9,1,0.5450605511378807,0.6923076923076923,0.19729344729344728,1.0
PoG,0,5,4,1,0.6699402553641818,0.8,0.3625,1.0
PoG,1,7,6,1,0.6412776051956836,0.8571428571428571,0.26587301587301587,1.0
PoG,2,21,7,1,0.3117361111111111,0.11111111111111108,0.25,1.0
PoG,3,14,9,1,0.5283189862430557,0.6428571428571429,0.19902319902319904,1.0
PoG,4,8,4,1,0.6424873491829921,0.75,0.428125,0.8181818181818181
PoG,5,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
PoG,6,4307,12,1,0.5099518479899225,0.6442412002666917,0.22236946611311117,0.8317757009345794
PoG,7,5,4,1,0.6699402553641818,0.8,0.3625,1.0
PoG,8,10,8,1,0.5923446631836045,0.8,0.2138888888888889,1.0
PoG,9,9,7,1,0.5994777295209069,0.7777777777777778,0.2400793650793651,1.0
PoG,10,4468,5,1,0.5522544141180923,0.3862120141822289,0.599286497082703,0.8
PoG,11,34,4,1,0.30780675283659115,0.039215686274509796,0.4154411764705882,1.0
PoG,12,4439,8,1,0.3792515630514522,0.21557933200411641,0.35874170805357253,0.7777777777777778
PoG,13,5,4,1,0.6699402553641818,0.8,0.3625,1.0
PoG,14,448,10,1,0.37187326483835575,0.26014191769303546,0.28308531746031745,0.7714285714285715
PoG,15,4942,10,1,0.42333623171280865,0.32636773696157534,0.29558812783848193,0.8599999999999999
PoG,16,10,8,1,0.5923446631836045,0.8,0.2138888888888889,1.0
PoG,17,5,3,1,0.6450760945333125,0.6,0.48333333333333334,1.0
PoG,18,11,9,1,0.5860616328424997,0.8181818181818182,0.19292929292929292,1.0
PoG,19,15,9,1,0.5134730417061304,0.6,0.20052910052910053,1.0
PoG,20,10,8,1,0.5923446631836045,0.8,0.2138888888888889,1.0
PoG,21,41,9,1,0.5561793244004837,0.7298614412694999,0.20096990443588647,0.9772727272727272
PoG,22,11,9,1,0.5860616328424997,0.8181818181818182,0.19292929292929292,1.0
PoG,23,777,11,1,0.5819503714447196,0.6897958460598639,0.2991697130486368,0.915492957746479
PoG,24,16,9,1,0.5001993662601841,0.5625,0.20185185185185184,1.0
PoG,25,77,10,0,0.49123193719821323,0.4939739097756732,0.23521472560433604,1.0
PoG,26,273,15,1,0.6555875859380585,0.8764009226814685,0.2932735463225023,0.9657142857142856
PoG,27,26,9,1,0.5198372568049519,0.6137223726922694,0.20284900284900284,1.0
PoG,28,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
PoG,29,24,3,1,0.4465637966206929,0.125,0.6256038647342995,1.0
PoG,30,33,12,1,0.5726573754650846,0.8400141870283359,0.1914141414141414,0.8987341772151898
PoG,31,12,5,1,0.3946731010976529,0.20833333333333334,0.3125,1.0
PoG,32,1077,10,1,0.6413150649221508,0.8749483043203162,0.3118242319426164,0.8554216867469879
PoG,33,17,8,1,0.5073269476196722,0.5603053284712359,0.21650326797385622,1.0
PoG,34,5346,14,1,0.5538215060958995,0.804859827735118,0.21811252630267947,0.7876712328767123
PoG,35,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
PoG,36,495,10,0,0.6097813909007315,0.8367003367003366,0.22224409892819605,1.0
PoG,37,6,5,1,0.6544318058580619,0.8333333333333334,0.3066666666666667,1.0
PoG,38,10,8,1,0.5923446631836045,0.8,0.2138888888888889,1.0
PoG,39,4058,10,1,0.4166218118171243,0.2037722217175522,0.41640180430514706,0.9142857142857143
PoG,40,67,9,1,0.3676126501263532,0.24573587228991886,0.2491708126036484,0.8709677419354839
PoG,41,5,3,1,0.6450760945333125,0.6,0.48333333333333334,1.0
PoG,42,672,5,1,0.5424683246237356,0.42050996023956283,0.5247170092344355,0.8
PoG,44,5,5,1,0.7030499987246199,1.0,0.29,1.0
PoG,45,14,7,1,0.5993638953531678,0.7455380299191111,0.26099773242630386,1.0
PoG,46,5258,10,1,0.5180467142422275,0.4842600257776122,0.3383981977558839,0.9047619047619048
PoG,47,46,6,1,0.2621505120432499,0.03260869565217391,0.2939958592132505,1.0
PoG,48,18,10,1,0.5819810498829062,0.8465219737061825,0.20984126984126986,0.8799999999999999
PoG,49,15,9,1,0.5134730417061304,0.6,0.20052910052910053,1.0
PoG,50,14,7,1,0.5470881907629126,0.6109640474436812,0.2888726919339164,0.9130434782608696
PoG,51,5560,15,1,0.6186623738496135,0.8913315559642668,0.2161112768832403,0.9698492462311558
PoG,52,20,6,1,0.5167078137110968,0.5053706817538073,0.2777777777777778,1.0
PoG,53,8,3,1,0.5684458481096544,0.375,0.5476190476190476,1.0
PoG,54,5,4,1,0.6699402553641818,0.8,0.3625,1.0
PoG,55,13,3,1,0.506121182921061,0.23076923076923078,0.5918803418803419,1.0
PoG,56,11,7,1,0.5542900642982235,0.6791458656254994,0.25281385281385277,0.9130434782608696
PoG,57,7,6,1,0.6412776051956836,0.8571428571428571,0.26587301587301587,1.0
PoG,58,4543,10,1,0.5050862960217277,0.4909513719607449,0.383689035582708,0.7301587301587301
PoG,59,1575,7,1,0.45478657922154725,0.3342501219549165,0.4021670695140083,0.7826086956521738
PoG,60,7,6,1,0.6412776051956836,0.8571428571428571,0.26587301587301587,1.0
PoG,61,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
PoG,62,10,8,1,0.5923446631836045,0.8,0.2138888888888889,1.0
PoG,63,2060,15,1,0.6441807961321102,0.9172734627831715,0.25704815192296987,0.9375
PoG,64,46,12,1,0.6078274532119722,0.8214730239768318,0.23902044513457557,0.9680851063829787
PoG,65,6,5,1,0.6544318058580619,0.8333333333333334,0.3066666666666667,1.0
PoG,66,103,11,1,0.633923069541841,0.8387103533620409,0.2799561631203291,0.9578947368421052
PoG,67,41,10,1,0.5958412877029445,0.7476357848476909,0.26461936437546196,0.9682539682539684
PoG,68,30,10,1,0.5671168561337373,0.7724478996321085,0.2067171717171717,0.94
PoG,69,5,5,1,0.7030499987246199,1.0,0.29,1.0
PoG,70,11,9,1,0.5860616328424997,0.8181818181818182,0.19292929292929292,1.0
PoG,71,8,6,1,0.6077044435606993,0.75,0.2738095238095238,1.0
PoG,72,128,13,0,0.6629262390783967,0.8471850773902458,0.31981727540621774,0.9848484848484849
PoG,73,10,6,1,0.6319989549848698,0.8,0.28611111111111115,1.0
PoG,74,13,3,1,0.506121182921061,0.23076923076923078,0.5918803418803419,1.0
KG-Agent,0,5,3,1,0.6450760945333125,0.6,0.48333333333333334,1.0
KG-Agent,1,7,5,1,0.6174136752845653,0.7142857142857143,0.3190476190476191,1.0
KG-Agent,2,21,5,1,0.5830653125637185,0.5589203487571974,0.4386446886446887,0.8666666666666667
KG-Agent,3,14,5,1,0.4879473373527564,0.35714285714285715,0.35824175824175825,1.0
KG-Agent,4,8,5,1,0.6370030527873014,0.8125,0.34249999999999997,0.8666666666666667
KG-Agent,5,8,5,1,0.5880616716516087,0.625,0.32857142857142857,1.0
KG-Agent,6,4307,6,1,0.4773924627601687,0.30539158094819574,0.44473893222622235,0.8947368421052632
KG-Agent,7,5,3,1,0.6450760945333125,0.6,0.48333333333333334,1.0
KG-Agent,8,10,4,1,0.5356757699574611,0.4,0.4277777777777778,1.0
KG-Agent,9,9,5,1,0.5640839337667529,0.5555555555555556,0.33611111111111114,1.0
KG-Agent,10,4468,6,1,0.479398478661868,0.30974289769024843,0.44428528063965156,0.8947368421052632
KG-Agent,11,34,5,1,0.5877225878848904,0.5285748772352554,0.48235294117647054,0.8666666666666667
KG-Agent,12,4439,6,1,0.4675873159354226,0.30142782265498,0.47832227740476335,0.7894736842105263
KG-Agent,13,5,5,1,0.7030499987246199,1.0,0.29,1.0
KG-Agent,14,448,6,1,0.6465623929070788,0.648065197247425,0.5188711751211751,0.8461538461538461
KG-Agent,15,4942,6,1,0.7115937706544175,0.812210041200342,0.5092056278759537,0.8709677419354838
KG-Agent,16,10,4,1,0.5356757699574611,0.4,0.4277777777777778,1.0
KG-Agent,17,5,4,1,0.6699402553641818,0.8,0.3625,1.0
KG-Agent,18,11,5,1,0.5269807843486494,0.45454545454545453,0.3472727272727273,1.0
KG-Agent,19,15,5,1,0.477781911531584,0.3333333333333333,0.36095238095238097,1.0
KG-Agent,20,10,4,1,0.5356757699574611,0.4,0.4277777777777778,1.0
KG-Agent,21,41,5,0,0.6816591848926883,0.7804878048780488,0.403209242618742,1.0
KG-Agent,22,11,4,1,0.521007641695879,0.36363636363636365,0.4340909090909091,1.0
KG-Agent,23,777,6,1,0.7177548519167984,0.8257811452396234,0.5484778072558342,0.8064516129032258
KG-Agent,24,16,5,1,0.46864536746452945,0.3125,0.36333333333333334,1.0
KG-Agent,25,77,5,0,0.6755454461350164,0.6883116883116883,0.4704294512086721,1.0
KG-Agent,26,273,4,1,0.7891311466938243,0.8709316363050756,0.6134453781512605,0.9285714285714286
KG-Agent,27,26,6,1,0.5948803120770806,0.6153846153846154,0.35147630147630143,1.0
KG-Agent,28,8,4,1,0.5732718719225945,0.5,0.4107142857142857,1.0
KG-Agent,29,24,4,1,0.4264660346180495,0.16666666666666666,0.4692028985507246,1.0
KG-Agent,30,33,6,1,0.6444699025407254,0.7932857436827813,0.3828282828282828,0.8461538461538463
KG-Agent,31,12,5,1,0.3946731010976529,0.20833333333333334,0.3125,1.0
KG-Agent,32,1077,5,1,0.5711085305733866,0.4201602164074896,0.567658177477119,0.8666666666666667
KG-Agent,33,17,6,1,0.6127785146758726,0.6764705882352942,0.3390911920323685,1.0
KG-Agent,34,5346,6,1,0.2497394310681441,9.352787130564913e-05,0.35910694244027574,1.0
KG-Agent,35,8,3,1,0.5684458481096544,0.375,0.5476190476190476,1.0
KG-Agent,36,495,6,1,0.7134950457299184,0.8265143459728242,0.5009439964358408,0.8709677419354839
KG-Agent,37,6,5,1,0.6544318058580619,0.8333333333333334,0.3066666666666667,1.0
KG-Agent,38,10,5,1,0.5440417836750212,0.5,0.34222222222222226,1.0
KG-Agent,39,4058,6,1,0.563008704256082,0.3499736412331804,0.6940030071752451,0.7894736842105263
KG-Agent,40,67,3,1,0.3009905513773043,0.006396588486140721,0.5460199004975125,1.0
KG-Agent,41,5,4,1,0.6699402553641818,0.8,0.3625,1.0
KG-Agent,42,672,6,1,0.6098157505173425,0.6259980580890995,0.49064959102869626,0.7692307692307692
KG-Agent,44,5,5,1,0.7030499987246199,1.0,0.29,1.0
KG-Agent,45,14,5,1,0.6257917559661683,0.6785714285714286,0.3653968253968254,1.0
KG-Agent,46,5258,6,1,0.6271354507818365,0.5795487522976736,0.5634740702155218,0.8076923076923076
KG-Agent,47,46,5,1,0.27439365419474904,0.02717391304347826,0.3527950310559006,1.0
KG-Agent,48,18,4,1,0.33844186384524916,0.07407407407407406,0.40555555555555556,1.0
KG-Agent,49,15,4,1,0.4783888651927946,0.26666666666666666,0.4511904761904762,1.0
KG-Agent,50,14,4,1,0.39225356914152953,0.14285714285714285,0.41369047619047616,1.0
KG-Agent,51,5560,6,1,0.790236765939756,0.9441114609453461,0.5423497866878509,0.9411764705882353
KG-Agent,52,20,5,1,0.5657690414400354,0.5628886027254514,0.33333333333333337,1.0
KG-Agent,53,8,5,1,0.5880616716516087,0.625,0.32857142857142857,1.0
KG-Agent,54,5,5,1,0.7030499987246199,1.0,0.29,1.0
KG-Agent,55,13,5,1,0.49934530304776015,0.38461538461538464,0.3551282051282051,1.0
KG-Agent,56,11,5,1,0.5814121755827204,0.686420644299972,0.32121212121212117,0.8666666666666667
KG-Agent,57,7,5,1,0.6174136752845653,0.7142857142857143,0.3190476190476191,1.0
KG-Agent,58,4543,6,1,0.5996852326673953,0.5855999659655983,0.4844803839629706,0.8076923076923077
KG-Agent,59,1575,6,1,0.5269946052273153,0.3897670382301331,0.4691949144330097,0.8947368421052632
KG-Agent,60,7,5,1,0.6174136752845653,0.7142857142857143,0.3190476190476191,1.0
KG-Agent,61,8,5,1,0.5880616716516087,0.625,0.32857142857142857,1.0
KG-Agent,62,10,3,1,0.5379035228737238,0.3,0.5703703703703704,1.0
KG-Agent,63,2060,6,1,0.46719203506041607,0.31469402702385246,0.3570031410622501,1.0
KG-Agent,64,46,6,1,0.608844639181609,0.6813407769585955,0.3772644927536232,0.8846153846153846
KG-Agent,65,6,3,0,0.613190537409625,0.5,0.5111111111111112,1.0
KG-Agent,66,103,4,1,0.7257493813604905,0.859044462661316,0.4712415416298912,0.9285714285714286
KG-Agent,67,41,5,0,0.5526067039801326,0.49787159764799505,0.36390243902439023,1.0
KG-Agent,68,30,5,1,0.6539156374058932,0.7222222222222222,0.4134343434343434,0.95
KG-Agent,69,5,4,1,0.6699402553641818,0.8,0.3625,1.0
KG-Agent,70,11,4,1,0.521007641695879,0.36363636363636365,0.4340909090909091,1.0
KG-Agent,71,8,4,1,0.5732718719225945,0.5,0.4107142857142857,1.0
KG-Agent,72,128,6,1,0.608311994705024,0.6034564185059584,0.48813975376475366,0.8076923076923077
KG-Agent,73,10,5,1,0.6423885383504526,0.75,0.3433333333333334,1.0
KG-Agent,74,13,5,1,0.49934530304776015,0.38461538461538464,0.3551282051282051,1.0
Graph-CoT,0,5,4,1,0.6699402553641818,0.8,0.3625,1.0
Graph-CoT,1,7,5,1,0.6174136752845653,0.7142857142857143,0.3190476190476191,1.0
Graph-CoT,2,21,3,1,0.3655460834357914,0.0476190476190476,0.5833333333333334,1.0
Graph-CoT,3,14,3,0,0.49788546562499003,0.21428571428571427,0.5970695970695971,1.0
Graph-CoT,4,8,4,1,0.6424873491829921,0.75,0.428125,0.8181818181818181
Graph-CoT,5,8,3,0,0.5684458481096544,0.375,0.5476190476190476,1.0
Graph-CoT,6,4307,5,0,0.7234413137469119,0.9198731812159853,0.40380081609996016,0.9565217391304348
Graph-CoT,7,5,3,1,0.6450760945333125,0.6,0.48333333333333334,1.0
Graph-CoT,8,10,4,0,0.5356757699574611,0.4,0.4277777777777778,1.0
Graph-CoT,9,9,3,0,0.5518995592166313,0.3333333333333333,0.5601851851851852,1.0
Graph-CoT,10,4468,6,1,0.489222405691789,0.30974289769024843,0.49968910802691285,0.8421052631578948
Graph-CoT,11,34,5,0,0.6691370111811995,0.7156862745098038,0.43039215686274507,1.0
Graph-CoT,12,4439,6,1,0.6842848102643003,0.8122192126944267,0.47892586490071176,0.8064516129032258
Graph-CoT,13,5,4,1,0.6699402553641818,0.8,0.3625,1.0
Graph-CoT,14,448,5,1,0.6512549865728561,0.6703869047619048,0.4539880258630259,0.95
Graph-CoT,15,4942,5,0,0.7327233679966512,0.921402167013494,0.42260777842613395,0.9565217391304348
Graph-CoT,16,10,5,1,0.5440417836750212,0.5,0.34222222222222226,1.0
Graph-CoT,17,5,5,1,0.7030499987246199,1.0,0.29,1.0
Graph-CoT,18,11,5,1,0.5269807843486494,0.45454545454545453,0.3472727272727273,1.0
Graph-CoT,19,15,4,0,0.4783888651927946,0.26666666666666666,0.4511904761904762,1.0
Graph-CoT,20,10,3,1,0.5379035228737238,0.3,0.5703703703703704,1.0
Graph-CoT,21,41,5,1,0.6521520650693297,0.7804878048780488,0.36174582798459565,0.9500000000000001
Graph-CoT,22,11,5,1,0.5269807843486494,0.45454545454545453,0.3472727272727273,1.0
Graph-CoT,23,777,7,1,0.6162909576548115,0.7004975992764376,0.41294253345502546,0.8125
Graph-CoT,24,16,4,1,0.47041986616780174,0.25,0.45416666666666666,1.0
Graph-CoT,25,77,5,1,0.6623256519792498,0.6883116883116883,0.463589229303515,0.95
Graph-CoT,26,273,5,0,0.7357276762332335,0.8190390936719714,0.49297482051885283,1.0
Graph-CoT,27,26,6,1,0.5948803120770806,0.6153846153846154,0.35147630147630143,1.0
Graph-CoT,28,8,4,0,0.5732718719225945,0.5,0.4107142857142857,1.0
Graph-CoT,29,24,4,1,0.4264660346180495,0.16666666666666666,0.4692028985507246,1.0
Graph-CoT,30,33,5,0,0.6835068344205926,0.7878787878787878,0.40121212121212124,1.0
Graph-CoT,31,12,4,1,0.39948633809061523,0.16666666666666666,0.390625,1.0
Graph-CoT,32,1077,5,0,0.7381697508044524,0.8755803156917363,0.4503493731892868,1.0
Graph-CoT,33,17,4,1,0.6625598864435693,0.6176470588235294,0.5086367880485527,1.0
Graph-CoT,34,5346,5,0,0.7553791411251524,0.9167446065594214,0.4551945666431695,1.0
Graph-CoT,35,8,3,0,0.5684458481096544,0.375,0.5476190476190476,1.0
Graph-CoT,36,495,7,1,0.6895252578705455,0.8356902356902356,0.4293805683735778,0.8863636363636362
Graph-CoT,37,6,4,1,0.6293206822637133,0.6666666666666666,0.38333333333333336,1.0
Graph-CoT,38,10,3,0,0.5379035228737238,0.3,0.5703703703703704,1.0
Graph-CoT,39,4058,5,0,0.7001689975881629,0.8350785593927412,0.39953409929492034,1.0
Graph-CoT,40,67,7,1,0.6374354041110122,0.765875862413387,0.4149171723798589,0.7948717948717949
Graph-CoT,41,5,4,1,0.6699402553641818,0.8,0.3625,1.0
Graph-CoT,42,672,5,0,0.7753592042413334,0.8759300595238095,0.5357415707448714,1.0
Graph-CoT,44,5,5,1,0.7030499987246199,1.0,0.29,1.0
Graph-CoT,45,14,5,1,0.6257917559661683,0.6785714285714286,0.3653968253968254,1.0
Graph-CoT,46,5258,5,0,0.7367704954438011,0.9198581834341427,0.4326316400262833,0.9565217391304348
Graph-CoT,47,46,5,0,0.6963277138807117,0.7634113606881218,0.45069690035365095,1.0
Graph-CoT,48,18,5,1,0.32612803909080923,0.09259259259259257,0.3244444444444444,1.0
Graph-CoT,49,15,2,0,0.5307667696013221,0.13333333333333333,0.9023809523809524,1.0
Graph-CoT,50,14,4,0,0.6353654109121502,0.6428571428571428,0.41836734693877553,1.0
Graph-CoT,51,5560,5,0,0.7663029257215546,0.947415751609239,0.45483911581578107,1.0
Graph-CoT,52,20,4,0,0.6812705652226303,0.6466103531824173,0.5255952380952381,1.0
Graph-CoT,53,8,3,1,0.5684458481096544,0.375,0.5476190476190476,1.0
Graph-CoT,54,5,4,1,0.6699402553641818,0.8,0.3625,1.0
Graph-CoT,55,13,4,1,0.49712814022942126,0.3076923076923077,0.4439102564102564,1.0
Graph-CoT,56,11,5,0,0.6254736362265542,0.7272727272727273,0.3539393939393939,0.9333333333333333
Graph-CoT,57,7,3,1,0.588418909566282,0.42857142857142855,0.5317460317460317,1.0
Graph-CoT,58,4543,7,1,0.6165161531306363,0.7087606945285256,0.4152689005396891,0.7948717948717948
Graph-CoT,59,1575,5,1,0.5774864881052887,0.46817744356359703,0.5630338973196116,0.8
Graph-CoT,60,7,5,1,0.6174136752845653,0.7142857142857143,0.3190476190476191,1.0
Graph-CoT,61,8,4,1,0.5732718719225945,0.5,0.4107142857142857,1.0
Graph-CoT,62,10,5,1,0.5440417836750212,0.5,0.34222222222222226,1.0
Graph-CoT,63,2060,5,0,0.7715221143363534,0.9138888509363362,0.4939004497751833,1.0
Graph-CoT,64,46,5,1,0.7498252065230866,0.8217391304347826,0.5238664596273293,1.0
Graph-CoT,65,6,3,0,0.613190537409625,0.5,0.5111111111111112,1.0
Graph-CoT,66,103,5,0,0.7507161822848626,0.8640776699029126,0.4884639272988788,1.0
Graph-CoT,67,41,5,1,0.5507666857016406,0.49787159764799505,0.35964523281596456,1.0
Graph-CoT,68,30,5,0,0.6855291314633255,0.7222222222222222,0.46252525252525245,1.0
Graph-CoT,69,5,3,1,0.6450760945333125,0.6,0.48333333333333334,1.0
Graph-CoT,70,11,3,0,0.5258665562484781,0.2727272727272727,0.5787878787878787,1.0
Graph-CoT,71,8,5,0,0.5880616716516087,0.625,0.32857142857142857,1.0
Graph-CoT,72,128,5,0,0.8044904655457823,0.9117525561077275,0.5732263049450549,1.0
Graph-CoT,73,10,3,1,0.6835311302445373,0.65,0.5277777777777778,1.0
Graph-CoT,74,13,3,1,0.506121182921061,0.23076923076923078,0.5918803418803419,1.0
